,Filename,ALBUM,ARTIST,GENRE,TITLE,YEAR,TAG
52,잔나비 - 사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,봉춤을 추네,잔나비,Indie Rock,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,2014,#국내 #인디 #잔잔한 #기타 #악기 #어쿠스틱 #카페 #분위기 있는 감성인디 #편안하게 듣는 잔잔한 음악 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
53,하은 (라코스테남) - 신용재,신용재,하은(라코스테남),Ballad,신용재,2018,#국내 #발라드 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디
54,Jeremy Zucker - comethru,"Summer,",Jeremy Zucker,Pop,Comethru,2018,#국외 #팝송 # 오후 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디 # 쓸쓸한
55,폴킴 - 초록빛,초록빛,폴킴,Ballad,초록빛,2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
56,Ariana Grande - 7 rings,7 rings,Ariana Grande,Pop,7 rings,2019,#국외 #팝송 # 오후 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디 # 쓸쓸한
57,화사 (Hwa Sa) - 멍청이(twit),멍청이 (twit),화사 (Hwa Sa),Dance,멍청이(twit),2019,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
58,IZ＊ONE (아이즈원) - 비올레타,HEART*IZ,IZ-ONE (아이즈원),Dance,비올레타,2019,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
59,벤 - 180도,빈 방,벤,Ballad,180도,2018,#국내 #발라드 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디
60,오마이걸 - 다섯 번째 계절 (SSFWL),THE FIFTH SEASON,오마이걸(OH MY GIRL),Dance,다섯 번째 계절 (SSFWL),2019,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
61,폴킴 - 비,비,폴킴,R&B,비,2016,#R&B #Soul #국내 #인디 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
62,에픽하이 (EPIK HIGH) - 술이 달다 (Feat. 크러쉬),sleepless in __________,Epik High(에픽하이),"Rap, Hip",술이 달다 (feat. Crush),2019,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
63,"Ariana Grande - Thank u, next","Thank u, next",Ariana Grande,Pop,"Thank u, next",2018,#국외 #팝송 # 오후 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디 # 쓸쓸한
64,마마무(Mamamoo) - 고고베베 (gogobebe),White Wind,마마무 (Mamamoo),Dance,고고베베 (gogobebe),2019,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
65,"강현준 (Lil tachi), 김호진 (HOTCHKISS) - 눈 (Prod. 기리보이)",고등래퍼 3 팀대항전 Part 1,"강현준,김호진",Rap/Hip,눈,2019,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
66,케이윌 - 내 생에 아름다운,뷰티 인사이드 OST Part.4 (JTBC 월화드라마),케이윌,OST,내 생에 아름다운,2018,#OST #국내 #영화/드라마 #애절한 #영화/드라마 OST 콜렉션 #애절하고 슬픈 멜로디의 노래
67,Will Smith - Arabian Nights (2019),Aladdin (Original Motion Picture Soundtrack),Will Smith,Soundtrack,Arabian Nights (2019),2019,#국외 #오후 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디 # 쓸쓸한
68,방탄소년단 - Dionysus,MAP OF THE SOUL : PERSONA,방탄소년단,"Rap, Hip",Dionysus,2019,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
69,닐로 (Nilo) - 지나오다,About You,닐로,Ballad,지나오다,2017,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
70,TWICE (트와이스) - YES or YES,YES or YES,TWICE (트와이스),"Dance, Ballad",YES or YES,2018,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
71,이소라 - 신청곡 (Feat. SUGA of BTS),신청곡 (Feat. SUGA of BTS),이소라,"Pop, Ballad",신청곡 (Feat. SUGA of BTS),2019,#팝송 #어쿠스틱 #출근/퇴근길 #편안한 #감성적인 #가을 #어쿠스틱한 노래모음 #출근/퇴근길에 듣기좋은 노래 #편안하게 듣는 잔잔한 음악
72,EXO - Love Shot,LOVE SHOT - The 5th Album Repackage,EXO,Dance,Love Shot,2018,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
73,허각 - 흔한 이별,흔한 이별,허각,Ballad,흔한 이별,2018,#국내 #발라드 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디
74,노을 - 너는 어땠을까,별,노을,Ballad,너는 어땠을까,2018,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
75,양다일 - 고백,고백 (Sorry),양다일,Ballad,고백 (Sorry),2018,#국내 #발라드 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디
76,임한별 - 오월의 어느 봄날 (Feat. 첸(CHEN)),오월의 어느 봄날,임한별,Ballad,오월의 어느 봄날 (Feat. 첸(CHEN)),2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
77,윤건 - 너도 그냥 날 놓아주면 돼,JamendoMusic,윤건,Ballad,너도 그냥 날 놓아주면 돼,2018,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
78,TWICE (트와이스) - Dance The Night Away,Summer Nights,TWICE (트와이스),Dance,Dance The Night Away,2018,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
79,"Jvcki Wai, 영비, Osshun Gum, 한요한 - 띵 (Prod. By 기리보이)",Dingo X Indigo Music,"Jvcki Wai,영비,Osshun Gum,한요한","Rap, Hip",띵,2019,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
80,아이유 - 밤편지,밤편지,아이유,Ballad,밤편지,2017,#국내 #발라드 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디
81,방탄소년단 - HOME,MAP OF THE SOUL : PERSONA,방탄소년단,"Rap, Hip",HOME,2019,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
82,히키(Hickee) - 사랑에 연습이 있었다면 (답가),사랑에 연습이 있었다면 (답가),히키(Hickee),Indie,사랑에 연습이 있었다면 (답가),2019,#국내 #인디 #잔잔한 #기타 #악기 #어쿠스틱 #카페 #분위기 있는 감성인디 #편안하게 듣는 잔잔한 음악 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
83,아이유 - 삐삐,삐삐,아이유,"R&B, Soul",삐삐,2018,#R&B #Soul #국내 #인디 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
84,Imagine Dragons - Believer,Evolve,Imagine Dragons,Pop,Believer,2018,#국외 #팝송 # 오후 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디 # 쓸쓸한
85,"공기남 - Gloomy Star (Feat. 1ho, Chan)",Airman Morning Diaries #4,공기남,Indie,"Gloomy Star (Feat. 1ho, Chan)",2018,#국내 #인디 #잔잔한 #기타 #악기 #어쿠스틱 #카페 #분위기 있는 감성인디 #편안하게 듣는 잔잔한 음악 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
86,박봄 - 봄 (feat. 산다라박),[싱글]Spring,박봄 ,"R&B, Soul",봄(feat. 산다라박),2019,#R&B #Soul #국내 #인디 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
87,김재환 - 안녕하세요,Another,김재환,Ballad,안녕하세요,2019,#국내 #발라드 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디
88,Will Smith - Prince Ali,Aladdin (Original Motion Picture Soundtrack),Will Smith,Soundtrack,Prince Ali,2019,#국외 #오후 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디 # 쓸쓸한
89,양다일 - 이 밤,skepticism,양다일,Ballad,이 밤,2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
90,"Ed Sheeran, Justin Bieber - I Don't Care",I Don`t Care,"Ed Sheeran,Justin Bieber",Pop,I Don`t Care,2019,#팝송 #어쿠스틱 #출근/퇴근길 #편안한 #감성적인 #가을 #어쿠스틱한 노래모음 #출근/퇴근길에 듣기좋은 노래 #편안하게 듣는 잔잔한 음악
91,"방탄소년단, Charli XCX - Dream Glow (BTS WORLD OST Part.1)",Dream Glow (BTS WORLD OST Part 1),"방탄소년단,Charli XCX",OST,Dream Glow (BTS WORLD OST Part 1),2019,#OST #국내 #영화/드라마 #애절한 #영화/드라마 OST 콜렉션 #애절하고 슬픈 멜로디의 노래
92,제니 (JENNIE) - SOLO,SOLO,제니 (JENNIE),"Rap, Hip",SOLO,2018,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
93,방탄소년단 - Jamais Vu,MAP OF THE SOUL : PERSONA,방탄소년단,Indie,Jamais Vu,2019,#국외 #오후 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디 # 쓸쓸한
94,카더가든 - 우리의 밤을 외워요,우리의 밤을 외워요,카더가든,Ballad,우리의 밤을 외워요,2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
95,기리보이 - 도쿄 (Feat. 유라 (youra)),100년제전문대학,기리보이,Pop,도쿄 (Feat. 유라 (youra)),2019,#팝송 #어쿠스틱 #출근/퇴근길 #편안한 #감성적인 #가을 #어쿠스틱한 노래모음 #출근/퇴근길에 듣기좋은 노래 #편안하게 듣는 잔잔한 음악
96,EXO - Tempo,DON`T MESS UP MY TEMPO - The 5th Album,EXO,Dance,Tempo,2018,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
97,WINNER - MILLIONS,MILLIONS,WINNER,Dance,MILLIONS,2018,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
98,"방탄소년단, Zara Larsson - A Brand New Day (BTS WORLD OST Part.2)",A Brand New Day (BTS WORLD OST Part 2),"방탄소년단,Zara Larsson",New Age,A Brand New Day (BTS WORLD OST Part 2),2019,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
99,벤 - 열애중,RECIPE,벤,Ballad,열애중,2018,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
